Id,SalePrice
1840,115356
1841,133722
1842,107579
1843,138331
1844,170578
1845,119494
1846,182680
1847,168016
1848,-9232
1849,119778
1850,131680
1851,147447
1852,130437
1853,128681
1854,207536
1855,185125
1856,208822
1857,147241
1858,143749
1859,152871
1860,160883
1861,151999
1862,251495
1863,251495
1864,251495
1865,327992
1866,324749
1867,283591
1868,278995
1869,224189
1870,270211
1871,283739
1872,159101
1873,209339
1874,129713
1875,230407
1876,172011
1877,230151
1878,233549
1879,123094
1880,140763
1881,268860
1882,239924
1883,198177
1884,204970
1885,261336
1886,278375
1887,227347
1888,288059
1889,154095
1890,109384
1891,173720
1892,91549
1893,140006
1894,140284
1895,151302
1896,116596
1897,116986
1898,134268
1899,181423
1900,163940
1901,136809
1902,141331
1903,211484
1904,134895
1905,204338
1906,127096
1907,217529
1908,149580
1909,152163
1910,152163
1911,177825
1912,270688
1913,142504
1914,72861
1915,267442
1916,18241
1917,255923
1918,153358
1919,187755
1920,181499
1921,341600
1922,321550
1923,185785
1924,234243
1925,206759
1926,339951
1927,129330
1928,165027
1929,117140
1930,155245
1931,144455
1932,125544
1933,144704
1934,171387
1935,157377
1936,171435
1937,168882
1938,163878
1939,270728
1940,249469
1941,171464
1942,166013
1943,251403
1944,262727
1945,329145
1946,202537
1947,302484
1948,207026
1949,241719
1950,221214
1951,261810
1952,247327
1953,186038
1954,212771
1955,131590
1956,276304
1957,198473
1958,268729
1959,140674
1960,93923
1961,141272
1962,128501
1963,130579
1964,106782
1965,167449
1966,206792
1967,289560
1968,328959
1969,333437
1970,331623
1971,371491
1972,312498
1973,250616
1974,264279
1975,392716
1976,285460
1977,281860
1978,298051
1979,332829
1980,224102
1981,331235
1982,253742
1983,253742
1984,192418
1985,246887
1986,251972
1987,215216
1988,163375
1989,194634
1990,195802
1991,223532
1992,203802
1993,187769
1994,204908
1995,197010
1996,244482
1997,311066
1998,312151
1999,210473
2000,268548
2001,232223
2002,253756
2003,275716
2004,256271
2005,258242
2006,256091
2007,287842
2008,215812
2009,168342
2010,196216
2011,143437
2012,213387
2013,163716
2014,169396
2015,196177
2016,169932
2017,197246
2018,128078
2019,122670
2020,121381
2021,119269
2022,198002
2023,146386
2024,188861
2025,310714
2026,217874
2027,154622
2028,190620
2029,161702
2030,296964
2031,281340
2032,288040
2033,292781
2034,187812
2035,199576
2036,232246
2037,232246
2038,319871
2039,246533
2040,311281
2041,267829
2042,202105
2043,198602
2044,214831
2045,239516
2046,178787
2047,131885
2048,144291
2049,186331
2050,196156
2051,114170
2052,151358
2053,132232
2054,66071
2055,168750
2056,134065
2057,129089
2058,180907
2059,135918
2060,151720
2061,202095
2062,134336
2063,117327
2064,157709
2065,142027
2066,208173
2067,144687
2068,189165
2069,81946
2070,113451
2071,80627
2072,208449
2073,144188
2074,221493
2075,162923
2076,141898
2077,140539
2078,128313
2079,167671
2080,154405
2081,147283
2082,146647
2083,144141
2084,118983
2085,132180
2086,151645
2087,139391
2088,110949
2089,108784
2090,142317
2091,66571
2092,117038
2093,122771
2094,163900
2095,177651
2096,114061
2097,88446
2098,165196
2099,7777
2100,62533
2101,135402
2102,170006
2103,107392
2104,158641
2105,94965
2106,41608
2107,217932
2108,126283
2109,99775
2110,132411
2111,188180
2112,131518
2113,114745
2114,137903
2115,155213
2116,140840
2117,155972
2118,146634
2119,153422
2120,105542
2121,92801
2122,79788
2123,103577
2124,212547
2125,158572
2126,184371
2127,170351
2128,145123
2129,162439
2130,144403
2131,187779
2132,137950
2133,173790
2134,146990
2135,131936
2136,32733
2137,128228
2138,147887
2139,179481
2140,126370
2141,170503
2142,130027
2143,152456
2144,153515
2145,124843
2146,186110
2147,177960
2148,153786
2149,165710
2150,232148
2151,163931
2152,132717
2153,153993
2154,97833
2155,136076
2156,183297
2157,238489
2158,205875
2159,212533
2160,185562
2161,290313
2162,365537
2163,327621
2164,282259
2165,202247
2166,146710
2167,228509
2168,171541
2169,194727
2170,204561
2171,152420
2172,152329
2173,165556
2174,221704
2175,303317
2176,295612
2177,214335
2178,229745
2179,166139
2180,239796
2181,227839
2182,257087
2183,226639
2184,130876
2185,141154
2186,182106
2187,181946
2188,158058
2189,248688
2190,69029
2191,69029
2192,64276
2193,83283
2194,89579
2195,93324
2196,98590
2197,92640
2198,205638
2199,173397
2200,140486
2201,156696
2202,201715
2203,168415
2204,135284
2205,121010
2206,162098
2207,235892
2208,212013
2209,193024
2210,149816
2211,149296
2212,141879
2213,93452
2214,125578
2215,118843
2216,136126
2217,5612
2218,77530
2219,73958
2220,67943
2221,268458
2222,237953
2223,278427
2224,223027
2225,131123
2226,151399
2227,228944
2228,284212
2229,233198
2230,124677
2231,213540
2232,200306
2233,191148
2234,256792
2235,209510
2236,275119
2237,309175
2238,259824
2239,109723
2240,183261
2241,150799
2242,148633
2243,119167
2244,72753
2245,71951
2246,133668
2247,110634
2248,116483
2249,117995
2250,140090
2251,128652
2252,207159
2253,155891
2254,162915
2255,171733
2256,187336
2257,173049
2258,212965
2259,168623
2260,184339
2261,243425
2262,250975
2263,263416
2264,367248
2265,187286
2266,297349
2267,304194
2268,364285
2269,190294
2270,190621
2271,242126
2272,205502
2273,184767
2274,192667
2275,202990
2276,223041
2277,180053
2278,164144
2279,124049
2280,92350
2281,193790
2282,194902
2283,130691
2284,138358
2285,189091
2286,127720
2287,326690
2288,294244
2289,318326
2290,340847
2291,260875
2292,371239
2293,370170
2294,323872
2295,391982
2296,270462
2297,253706
2298,328954
2299,296762
2300,269723
2301,250638
2302,261206
2303,273602
2304,274064
2305,194799
2306,194799
2307,193889
2308,266616
2309,295713
2310,252803
2311,225942
2312,165556
2313,161494
2314,183810
2315,160875
2316,171582
2317,190312
2318,161605
2319,188793
2320,217747
2321,281137
2322,216567
2323,206499
2324,185116
2325,233335
2326,185512
2327,195802
2328,196587
2329,171143
2330,172726
2331,300306
2332,317952
2333,276895
2334,227726
2335,240602
2336,277214
2337,227064
2338,286222
2339,262071
2340,372772
2341,232404
2342,262405
2343,235640
2344,221067
2345,273871
2346,254667
2347,224582
2348,231427
2349,133669
2350,256271
2351,267276
2352,289099
2353,204876
2354,139526
2355,171153
2356,153267
2357,231931
2358,170892
2359,136616
2360,121589
2361,153049
2362,220383
2363,146870
2364,179677
2365,255383
2366,242097
2367,262947
2368,222895
2369,264070
2370,161702
2371,162328
2372,226724
2373,239482
2374,260486
2375,259968
2376,272945
2377,316501
2378,178796
2379,193675
2380,178393
2381,192001
2382,231416
2383,235657
2384,210163
2385,180427
2386,159285
2387,130717
2388,129153
2389,145717
2390,150857
2391,151400
2392,121684
2393,214028
2394,176729
2395,168793
2396,172429
2397,209442
2398,140978
2399,28737
2400,16153
2401,117104
2402,133566
2403,197589
2404,153463
2405,189341
2406,153330
2407,127535
2408,153868
2409,135289
2410,207818
2411,123050
2412,146005
2413,139044
2414,132175
2415,175397
2416,171118
2417,158234
2418,121884
2419,102738
2420,125118
2421,124020
2422,125799
2423,74601
2424,139870
2425,186036
2426,114826
2427,91752
2428,183072
2429,120072
2430,153527
2431,135999
2432,128684
2433,136692
2434,140116
2435,147794
2436,111424
2437,119694
2438,122806
2439,144900
2440,170498
2441,125337
2442,122374
2443,144159
2444,131676
2445,81552
2446,120574
2447,235136
2448,151245
2449,126072
2450,173915
2451,111455
2452,217227
2453,84474
2454,102128
2455,120731
2456,122424
2457,110949
2458,133810
2459,119462
2460,169367
2461,118344
2462,125404
2463,136812
2464,164079
2465,165017
2466,143647
2467,187195
2468,117744
2469,123328
2470,196130
2471,184423
2472,188347
2473,106849
2474,88515
2475,215735
2476,112606
2477,126138
2478,171442
2479,116029
2480,147773
2481,128165
2482,140228
2483,120444
2484,144259
2485,122694
2486,145337
2487,168169
2488,171890
2489,187246
2490,135953
2491,103628
2492,200245
2493,153834
2494,175963
2495,101514
2496,236539
2497,156443
2498,122174
2499,82941
2500,128060
2501,143725
2502,129991
2503,95903
2504,181785
2505,203696
2506,292232
2507,318401
2508,292232
2509,255724
2510,264772
2511,219988
2512,200872
2513,205121
2514,264420
2515,153551
2516,157285
2517,128391
2518,130618
2519,207005
2520,198477
2521,197658
2522,204227
2523,139249
2524,144679
2525,148659
2526,154513
2527,121879
2528,138655
2529,141272
2530,109909
2531,242398
2532,207358
2533,199031
2534,264770
2535,263834
2536,214535
2537,252084
2538,192904
2539,216828
2540,191677
2541,191299
2542,132109
2543,125575
2544,122247
2545,143202
2546,188171
2547,177858
2548,139864
2549,132438
2550,537419
2551,173720
2552,127015
2553,69029
2554,115095
2555,139768
2556,86743
2557,110754
2558,120362
2559,148510
2560,140975
2561,160682
2562,143509
2563,138167
2564,192630
2565,140629
2566,104149
2567,134314
2568,207049
2569,202633
2570,150331
2571,155671
2572,235780
2573,244590
2574,298580
2575,166548
2576,101588
2577,142033
2578,112610
2579,10939
2580,105734
2581,126188
2582,122942
2583,266550
2584,187483
2585,186089
2586,228465
2587,230109
2588,182012
2589,177270
2590,231751
2591,220504
2592,239690
2593,263960
2594,218831
2595,249747
2596,302261
2597,203238
2598,211520
2599,361588
2600,158845
2601,171472
2602,72757
2603,72962
2604,51864
2605,73536
2606,150126
2607,193779
2608,179419
2609,132491
2610,94287
2611,129995
2612,154797
2613,116483
2614,120464
2615,188661
2616,157672
2617,211731
2618,201423
2619,249863
2620,163841
2621,162716
2622,165274
2623,239222
2624,263212
2625,293570
2626,182342
2627,244280
2628,304433
2629,342042
2630,288380
2631,358316
2632,303146
2633,301748
2634,335295
2635,181782
2636,202047
2637,211485
2638,204222
2639,175846
2640,180429
2641,112284
2642,199674
2643,149766
2644,132898
2645,129075
2646,128501
2647,130691
2648,178137
2649,141546
2650,189016
2651,167449
2652,325333
2653,290847
2654,267445
2655,338111
2656,288806
2657,296963
2658,247396
2659,256522
2660,284470
2661,330369
2662,327169
2663,277594
2664,294835
2665,324227
2666,300614
2667,159172
2668,190259
2669,191233
2670,255473
2671,190259
2672,221031
2673,227788
2674,228981
2675,211329
2676,195831
2677,174417
2678,226709
2679,262417
2680,266100
2681,313661
2682,273427
2683,336019
2684,272517
2685,280430
2686,246714
2687,294692
2688,261246
2689,251207
2690,339953
2691,171265
2692,141716
2693,228846
2694,141142
2695,198758
2696,194733
2697,177318
2698,166822
2699,197703
2700,186894
2701,156311
2702,148873
2703,175414
2704,155020
2705,126330
2706,121703
2707,142281
2708,128369
2709,100336
2710,123205
2711,261496
2712,283594
2713,214876
2714,180838
2715,162289
2716,180734
2717,177677
2718,265859
2719,156158
2720,222216
2721,149324
2722,141430
2723,174798
2724,121409
2725,128738
2726,140611
2727,181018
2728,193736
2729,131495
2730,139532
2731,145301
2732,127218
2733,165477
2734,155798
2735,135716
2736,122611
2737,122174
2738,177168
2739,187391
2740,174719
2741,144325
2742,190500
2743,142314
2744,164032
2745,158591
2746,126874
2747,186548
2748,147899
2749,127638
2750,129849
2751,120171
2752,267404
2753,171323
2754,203692
2755,172805
2756,54868
2757,76716
2758,68284
2759,163439
2760,120893
2761,162996
2762,165356
2763,208566
2764,211128
2765,245093
2766,99864
2767,74490
2768,133922
2769,134468
2770,208348
2771,120686
2772,106229
2773,146216
2774,137122
2775,101951
2776,168459
2777,197503
2778,157365
2779,121531
2780,157510
2781,116809
2782,92226
2783,51561
2784,146279
2785,135794
2786,39304
2787,150717
2788,58107
2789,215521
2790,85317
2791,147412
2792,47199
2793,153665
2794,52982
2795,110588
2796,115207
2797,209414
2798,102475
2799,108212
2800,92867
2801,155668
2802,127423
2803,225782
2804,156889
2805,114718
2806,117170
2807,188230
2808,150569
2809,153446
2810,129675
2811,167205
2812,179778
2813,198890
2814,198093
2815,120773
2816,249561
2817,148341
2818,138105
2819,177343
2820,130732
2821,114439
2822,207080
2823,227489
2824,179144
2825,155000
2826,129618
2827,159126
2828,186843
2829,237454
2830,244539
2831,219305
2832,219832
2833,286161
2834,205731
2835,239156
2836,196673
2837,196710
2838,150888
2839,164451
2840,229654
2841,198009
2842,204816
2843,140202
2844,206045
2845,119765
2846,200475
2847,168319
2848,251334
2849,199350
2850,257785
2851,207951
2852,225008
2853,205080
2854,166139
2855,226742
2856,199412
2857,195776
2858,222910
2859,104277
2860,134485
2861,137524
2862,197837
2863,129825
2864,213765
2865,173720
2866,200942
2867,77108
2868,168410
2869,102110
2870,138279
2871,72410
2872,10610
2873,94319
2874,128537
2875,149573
2876,171087
2877,141553
2878,175924
2879,125094
2880,116333
2881,152068
2882,133238
2883,209292
2884,215950
2885,173090
2886,141040
2887,123670
2888,168848
2889,55427
2890,78160
2891,156576
2892,22886
2893,103041
2894,19531
2895,272612
2896,268354
2897,210345
2898,213323
2899,260095
2900,186540
2901,210053
2902,195988
2903,301855
2904,327030
2905,19918
2906,260073
2907,103341
2908,119949
2909,205599
2910,56244
2911,72757
2912,143345
2913,73536
2914,51864
2915,51864
2916,73536
2917,160047
2918,102634
2919,223592
